zip_code,asian_ratio,white_ratio,black_ratio,age,income
59047,0.000165,0.959717,0.003789,45,27075
12792,0.011111,0.988889,0.000000,34.3,29338
04631,0.001430,0.894210,0.007863,53.7,19603
86434,0.001272,0.137405,0.001272,31.4,18504
68633,0.001605,0.994382,0.004013,47.6,28047
50069,0.001908,0.964695,0.000000,33.7,29839
82073,0.040000,0.600000,0.140000,16.3,2499
30257,0.000422,0.814557,0.151266,38.4,25532
68059,0.000672,0.984202,0.004706,49.1,35516
13402,0.001011,0.984336,0.001516,50.3,25507
62427,0.001163,0.981385,0.000000,38.2,31906
79003,0.009524,0.990476,0.000000,39.5,26250
56208,0.000971,0.939320,0.010194,47.1,23109
57035,0.001647,0.995058,0.000000,35.9,32115
94576,0.018692,0.962617,0.000000,63.5,31518
81419,0.000499,0.970794,0.000000,47.4,23875
58523,0.000536,0.968624,0.000000,45.4,35391
72660,0.003252,0.959350,0.000000,52.1,22527
15077,0.018349,0.981651,0.000000,50.6,14911
77371,0.000249,0.878629,0.102430,36.6,17146
56762,0.000794,0.973810,0.004762,44.9,31683
71259,0.001172,0.709261,0.264361,46,25738
50046,0.001257,0.982401,0.007542,33.9,32145
14781,0.000914,0.977148,0.000000,34.6,26000
74641,0.003106,0.855590,0.000000,52.8,26029
71044,0.002950,0.927729,0.050147,48.7,23913
79098,0.003839,0.988484,0.000000,34,25833
74837,0.007326,0.761905,0.000000,34.1,14881
66864,0.005222,0.963446,0.000000,54.7,26029
99666,0.014925,0.052239,0.000000,24,10577
17820,0.000370,0.980588,0.000740,46.2,29390
55333,0.002491,0.900374,0.000000,47.7,24718
54151,0.000597,0.988362,0.000000,46.9,25621
12941,0.001542,0.986122,0.006168,52.9,32200
93224,0.004975,0.935323,0.000000,39.8,22143
61346,0.027778,0.972222,0.000000,58.3,21429
49255,0.000821,0.996304,0.000000,28.1,24531
70631,0.004320,0.984881,0.000000,55.5,28942
56676,0.001284,0.942234,0.001284,44.9,30000
54407,0.001279,0.987212,0.007673,43.6,34550
59041,0.001130,0.955932,0.007910,44.8,27750
56726,0.001103,0.956426,0.036955,39,30267
64651,0.002924,0.937135,0.000000,47.8,30881
75681,0.000870,0.803828,0.171379,52,20402
62933,0.001523,0.961158,0.015232,47.9,26469
49449,0.000805,0.989533,0.001208,59,27117
37050,0.001282,0.910897,0.041026,45.6,22446
63878,0.017857,0.982143,0.000000,25.2,23125
67879,0.001653,0.880992,0.008264,48.7,27070
70456,0.000886,0.400354,0.575288,35.8,21399
56083,0.002281,0.977195,0.000000,49.5,30313
56586,0.001033,0.918947,0.016520,50.1,32140
47226,0.011765,0.988235,0.000000,37.6,30500
96028,0.001467,0.838591,0.000000,40.2,27679
50568,0.001266,0.990506,0.000000,40.2,34803
49817,0.003284,0.783251,0.000000,48,21750
62807,0.002528,0.992415,0.000000,38.1,26389
79529,0.001451,0.891147,0.026851,44.9,22832
68812,0.003236,0.996764,0.000000,49.1,31618
49950,0.001452,0.971678,0.022513,50.7,25513
57040,0.006452,0.993548,0.000000,54.8,28750
03445,0.002729,0.997271,0.000000,46.5,29758
56043,0.003731,0.981343,0.000000,44.8,31510
65333,0.003322,0.988372,0.000000,53.1,24737
67154,0.001536,0.971582,0.026114,37.5,33659
05442,0.005089,0.918575,0.020356,49.5,24342
56467,0.000790,0.975918,0.000000,53.6,25961
50157,0.002148,0.983888,0.004296,48.3,28822
55717,0.005405,0.883784,0.000000,50.3,38859
14748,0.003012,0.709337,0.000000,33.7,17667
67416,0.001885,0.972667,0.000000,39.7,30857
97039,0.003610,0.974729,0.007220,36.8,29643
61541,0.021277,0.978723,0.000000,50.5,19844
90704,0.000508,0.706853,0.003807,34.7,29400
98819,0.008850,0.933628,0.000000,63.4,22059
66738,0.007463,0.977612,0.000000,46,31328
58831,0.003008,0.935338,0.019549,28.3,34659
54757,0.000607,0.979066,0.004248,43.7,28202
19319,0.002503,0.628285,0.366708,21.7,6303
95982,0.000614,0.830264,0.000000,37.2,31446
58568,0.003236,0.317152,0.000000,26.8,27000
24091,0.000285,0.957799,0.030510,48.6,28032
13667,0.000672,0.959005,0.009745,33.6,25494
80481,0.003328,0.970050,0.000000,60,41115
44101,0.003407,0.620102,0.303237,31.1,4711
58377,0.006289,0.955975,0.000000,50.1,36786
67514,0.002169,0.959870,0.001085,32.3,25515
22713,0.001204,0.894642,0.080072,29.8,26787
50240,0.000696,0.977731,0.010438,41.5,38664
